Base_Term,Skill_Term,City,radius,indeed_url,new_jobs_count
Data Analytics,Spatial Statistics,"New York,NY",25,"http://www.indeed.com/jobs?q=Spatial Statistics+Data Analytics&l=New York,NY&radius=25",8
Data Scientist,SPSS,"New York,NY",25,"http://www.indeed.com/jobs?q=SPSS+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,SPSS,"New York,NY",25,"http://www.indeed.com/jobs?q=SPSS+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,SQL,"New York,NY",25,"http://www.indeed.com/jobs?q=SQL+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,SQL,"New York,NY",25,"http://www.indeed.com/jobs?q=SQL+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,Stata,"New York,NY",25,"http://www.indeed.com/jobs?q=Stata+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Stata,"New York,NY",25,"http://www.indeed.com/jobs?q=Stata+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,statistical graphics,"New York,NY",25,"http://www.indeed.com/jobs?q=statistical graphics+Data Scientist&l=New York,NY&radius=25",9
Data Analytics,statistical graphics,"New York,NY",25,"http://www.indeed.com/jobs?q=statistical graphics+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,Statistics,"New York,NY",25,"http://www.indeed.com/jobs?q=Statistics+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Statistics,"New York,NY",25,"http://www.indeed.com/jobs?q=Statistics+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,Structured Data,"New York,NY",25,"http://www.indeed.com/jobs?q=Structured Data+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Structured Data,"New York,NY",25,"http://www.indeed.com/jobs?q=Structured Data+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,Surveys and Marketing,"New York,NY",25,"http://www.indeed.com/jobs?q=Surveys and Marketing+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Surveys and Marketing,"New York,NY",25,"http://www.indeed.com/jobs?q=Surveys and Marketing+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,SVM,"New York,NY",25,"http://www.indeed.com/jobs?q=SVM+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,SVM,"New York,NY",25,"http://www.indeed.com/jobs?q=SVM+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,Systems Administration,"New York,NY",25,"http://www.indeed.com/jobs?q=Systems Administration+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Systems Administration,"New York,NY",25,"http://www.indeed.com/jobs?q=Systems Administration+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,technical writing/publishing,"New York,NY",25,"http://www.indeed.com/jobs?q=technical writing/publishing+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,technical writing/publishing,"New York,NY",25,"http://www.indeed.com/jobs?q=technical writing/publishing+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,Teradata,"New York,NY",25,"http://www.indeed.com/jobs?q=Teradata+Data Scientist&l=New York,NY&radius=25",8
Data Analytics,Teradata,"New York,NY",25,"http://www.indeed.com/jobs?q=Teradata+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,text mining,"New York,NY",25,"http://www.indeed.com/jobs?q=text mining+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,text mining,"New York,NY",25,"http://www.indeed.com/jobs?q=text mining+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,time-series analysis,"New York,NY",25,"http://www.indeed.com/jobs?q=time-series analysis+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,time-series analysis,"New York,NY",25,"http://www.indeed.com/jobs?q=time-series analysis+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,UNIX ,"New York,NY",25,"http://www.indeed.com/jobs?q=UNIX +Data Scientist&l=New York,NY&radius=25",0
Data Analytics,UNIX ,"New York,NY",25,"http://www.indeed.com/jobs?q=UNIX +Data Analytics&l=New York,NY&radius=25",0
Data Scientist,Unstructured Data,"New York,NY",25,"http://www.indeed.com/jobs?q=Unstructured Data+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Unstructured Data,"New York,NY",25,"http://www.indeed.com/jobs?q=Unstructured Data+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,Visualisation,"New York,NY",25,"http://www.indeed.com/jobs?q=Visualisation+Data Scientist&l=New York,NY&radius=25",5
